Season,Year_City,year,name,value
Summer,1956 Melbourne,1956-01-01,RSA,4
Summer,1996 Atlanta,1996-01-01,ALG,3
Winter,1952 Oslo,1952-01-01,SUI,2
Summer,1972 Munich,1972-01-01,ITA,18
Summer,2004 Athina,2004-01-01,TUR,11
Summer,2008 Beijing,2008-01-01,TUR,7
Summer,2000 Sydney,2000-01-01,SRI,1
Summer,2016 Rio de Janeiro,2016-01-01,SRI,0
Summer,2016 Rio de Janeiro,2016-01-01,ARM,4
Summer,1992 Barcelona,1992-01-01,CIV,0
Summer,1996 Atlanta,1996-01-01,CIV,0
Summer,2008 Beijing,2008-01-01,CIV,0
Summer,2012 London,2012-01-01,ESP,17
Summer,1984 Los Angeles,1984-01-01,FRA,28
Summer,1988 Seoul,1988-01-01,GDR,102
Summer,1988 Seoul,1988-01-01,TUN,0
Summer,1988 Seoul,1988-01-01,IRQ,0
Summer,2008 Beijing,2008-01-01,KAZ,13
Summer,2012 London,2012-01-01,JPN,38
Summer,2016 Rio de Janeiro,2016-01-01,KEN,13
Summer,1976 Montreal,1976-01-01,BUL,22
Summer,1980 Moskva,1980-01-01,BUL,41
Summer,2012 London,2012-01-01,NGR,0
Summer,2016 Rio de Janeiro,2016-01-01,NGR,1
Summer,1980 Moskva,1980-01-01,BEN,0
Summer,1984 Los Angeles,1984-01-01,BEN,0
Winter,1998 Nagano,1998-01-01,FRA,8
Summer,2016 Rio de Janeiro,2016-01-01,BRA,19
Winter,2002 Salt Lake City,2002-01-01,UKR,0
Winter,2006 Torino,2006-01-01,UKR,2
Winter,2010 Vancouver,2010-01-01,UKR,0
Summer,1928 Amsterdam,1928-01-01,GBR,22
Summer,1936 Berlin,1936-01-01,GBR,14
Summer,1932 Los Angeles,1932-01-01,USA,110
Summer,1976 Montreal,1976-01-01,NED,5
Summer,1996 Atlanta,1996-01-01,GHA,0
Summer,1972 Munich,1972-01-01,SOM,0
Winter,1998 Nagano,1998-01-01,LAT,0
Winter,2014 Sochi,2014-01-01,LAT,4
Summer,2016 Rio de Janeiro,2016-01-01,AUS,29
Winter,1988 Calgary,1988-01-01,ESP,0
Summer,1968 Mexico City,1968-01-01,LIB,0
Summer,1972 Munich,1972-01-01,LIB,1
Summer,2000 Sydney,2000-01-01,SYR,0
Summer,2000 Sydney,2000-01-01,MAR,5
Summer,1988 Seoul,1988-01-01,NIG,0
Summer,1988 Seoul,1988-01-01,LBA,0
Summer,1984 Los Angeles,1984-01-01,ALG,2
Summer,1984 Los Angeles,1984-01-01,IRQ,0
Summer,1968 Mexico City,1968-01-01,EGY,0
Winter,1992 Albertville,1992-01-01,LIB,0
Summer,2004 Athina,2004-01-01,MLI,0
Summer,1956 Melbourne,1956-01-01,AFG,0
Summer,1996 Atlanta,1996-01-01,USA,101
Summer,1912 Stockholm,1912-01-01,GER,26
Summer,1936 Berlin,1936-01-01,ROU,1
Summer,1988 Seoul,1988-01-01,HUN,23
Summer,1906 Athina,1906-01-01,GER,14
Summer,1976 Montreal,1976-01-01,GBR,13
Summer,1980 Moskva,1980-01-01,GBR,21
Summer,2016 Rio de Janeiro,2016-01-01,CHI,0
Summer,2016 Rio de Janeiro,2016-01-01,SUI,7
Summer,1984 Los Angeles,1984-01-01,IND,0
Summer,1988 Seoul,1988-01-01,IND,0
Summer,1992 Barcelona,1992-01-01,IND,0
Summer,1996 Atlanta,1996-01-01,IND,1
Summer,1980 Moskva,1980-01-01,POL,32
Summer,2000 Sydney,2000-01-01,SWE,12
Summer,2004 Athina,2004-01-01,SWE,7
Summer,2008 Beijing,2008-01-01,SWE,5
Summer,1968 Mexico City,1968-01-01,FRA,15
Summer,1984 Los Angeles,1984-01-01,CRC,0
Summer,1976 Montreal,1976-01-01,PAN,0
Summer,1920 Antwerpen,1920-01-01,GBR,43
Summer,1924 Paris,1924-01-01,GBR,35
Summer,1906 Athina,1906-01-01,GBR,25
Summer,1912 Stockholm,1912-01-01,GBR,41
Winter,1988 Calgary,1988-01-01,NOR,5
Winter,1980 Lake Placid,1980-01-01,NOR,10
Summer,1984 Los Angeles,1984-01-01,USA,173
Summer,1972 Munich,1972-01-01,USA,94
Summer,1976 Montreal,1976-01-01,USA,94
Winter,1972 Sapporo,1972-01-01,SWE,4
Summer,1920 Antwerpen,1920-01-01,SWE,64
Summer,1960 Roma,1960-01-01,SWE,6
Summer,1964 Tokyo,1964-01-01,SWE,8
Winter,1928 Sankt Moritz,1928-01-01,SWE,5
Winter,2006 Torino,2006-01-01,GEO,0
Winter,2010 Vancouver,2010-01-01,GEO,0
Winter,2014 Sochi,2014-01-01,GEO,0
Summer,2016 Rio de Janeiro,2016-01-01,BLR,9
Winter,2014 Sochi,2014-01-01,UKR,2
Winter,2010 Vancouver,2010-01-01,BLR,3
Winter,2014 Sochi,2014-01-01,BLR,6
Summer,1992 Barcelona,1992-01-01,MAR,3
Summer,1996 Atlanta,1996-01-01,GEO,2
Summer,1996 Atlanta,1996-01-01,SLO,2
Winter,1994 Lillehammer,1994-01-01,GEO,0
Winter,1998 Nagano,1998-01-01,GEO,0
Summer,1960 Roma,1960-01-01,URS,103
