"","Event","Sport","Season","Year_City","Year"
"5227","Badminton Women's Doubles","Badminton","Summer","1996 Atlanta",1996
"5228","Athletics Men's Javelin Throw","Athletics","Summer","1952 Helsinki",1952
"5229","Speed Skating Men's 10,000 metres","Speed Skating","Winter","1992 Albertville",1992
"5230","Wrestling Women's Flyweight, Freestyle","Wrestling","Summer","2012 London",2012
"5231","Taekwondo Women's Welterweight","Taekwondo","Summer","2000 Sydney",2000
"5232","Shooting Men's Free Pistol, 50 metres","Shooting","Summer","1956 Melbourne",1956
"5233","Athletics Men's Hammer Throw","Athletics","Summer","1920 Antwerpen",1920
"5234","Swimming Men's 200 metres Backstroke","Swimming","Summer","1964 Tokyo",1964
"5235","Swimming Men's 4 x 100 metres Medley Relay","Swimming","Summer","1964 Tokyo",1964
"5236","Athletics Men's Hammer Throw","Athletics","Summer","1948 London",1948
"5237","Athletics Men's 1,500 metres","Athletics","Summer","1900 Paris",1900
"5238","Athletics Men's 4,000 metres Steeplechase","Athletics","Summer","1900 Paris",1900
"5239","Athletics Men's 5,000 metres, Team","Athletics","Summer","1900 Paris",1900
"5240","Canoeing Men's Canadian Doubles, 1,000 metres","Canoeing","Summer","1948 London",1948
"5241","Figure Skating Women's Singles","Figure Skating","Winter","1932 Lake Placid",1932
"5242","Cycling Men's 1,000 metres Time Trial","Cycling","Summer","1972 Munich",1972
"5243","Athletics Women's 1,500 metres","Athletics","Summer","1984 Los Angeles",1984
"5244","Figure Skating Mixed Pairs","Figure Skating","Winter","1988 Calgary",1988
"5245","Rowing Men's Coxless Pairs","Rowing","Summer","1936 Berlin",1936
"5246","Wrestling Men's Welterweight, Greco-Roman","Wrestling","Summer","1972 Munich",1972
"5247","Luge Men's Singles","Luge","Winter","2006 Torino",2006
"5248","Luge Men's Singles","Luge","Winter","2010 Vancouver",2010
"5249","Swimming Women's 200 metres Freestyle","Swimming","Summer","1984 Los Angeles",1984
"5250","Swimming Women's 200 metres Individual Medley","Swimming","Summer","1984 Los Angeles",1984
"5251","Cycling Men's Individual Pursuit, 4,000 metres","Cycling","Summer","1984 Los Angeles",1984
"5252","Fencing Women's epee, Individual","Fencing","Summer","2008 Beijing",2008
"5253","Fencing Women's Foil, Individual","Fencing","Summer","2012 London",2012
"5254","Fencing Women's Foil, Team","Fencing","Summer","2012 London",2012
"5255","Canoeing Men's Canadian Singles, Slalom","Canoeing","Summer","2016 Rio de Janeiro",2016
"5256","Bobsleigh Men's Two","Bobsleigh","Winter","1980 Lake Placid",1980
"5257","Wrestling Men's Featherweight, Greco-Roman","Wrestling","Summer","1920 Antwerpen",1920
"5258","Cycling Men's Points Race","Cycling","Summer","1900 Paris",1900
"5259","Sailing Mixed Two Person Heavyweight Dinghy","Sailing","Summer","1956 Melbourne",1956
"5260","Sailing Men's One Person Heavyweight Dinghy","Sailing","Summer","2016 Rio de Janeiro",2016
"5261","Athletics Women's Discus Throw","Athletics","Summer","1968 Mexico City",1968
"5262","Athletics Women's Discus Throw","Athletics","Summer","1972 Munich",1972
"5263","Figure Skating Mixed Pairs","Figure Skating","Winter","1952 Oslo",1952
"5264","Badminton Mixed Doubles","Badminton","Summer","2004 Athina",2004
"5265","Rowing Men's Single Sculls","Rowing","Summer","1920 Antwerpen",1920
"5266","Polo Men's Polo","Polo","Summer","1900 Paris",1900
"5267","Swimming Women's 800 metres Freestyle","Swimming","Summer","2004 Athina",2004
"5268","Speed Skating Men's 5,000 metres","Speed Skating","Winter","1980 Lake Placid",1980
"5269","Speed Skating Men's 10,000 metres","Speed Skating","Winter","1980 Lake Placid",1980
"5270","Sailing Men's Two Person Dinghy","Sailing","Summer","2000 Sydney",2000
"5271","Rowing Women's Quadruple Sculls","Rowing","Summer","2004 Athina",2004
"5272","Swimming Women's 4 x 100 metres Freestyle Relay","Swimming","Summer","1920 Antwerpen",1920
"5273","Cycling Men's Road Race, Team","Cycling","Summer","1932 Los Angeles",1932
"5274","Ski Jumping Men's Normal Hill, Individual","Ski Jumping","Winter","1960 Squaw Valley",1960
"5275","Boxing Men's Flyweight","Boxing","Summer","1936 Berlin",1936
"5276","Weightlifting Men's Light-Heavyweight","Weightlifting","Summer","1924 Paris",1924
"5277","Alpine Skiing Women's Super G","Alpine Skiing","Winter","1992 Albertville",1992
"5278","Alpine Skiing Women's Combined","Alpine Skiing","Winter","1992 Albertville",1992
"5279","Cycling Men's 1,000 metres Time Trial","Cycling","Summer","2004 Athina",2004
"5280","Figure Skating Mixed Pairs","Figure Skating","Winter","1924 Chamonix",1924
"5281","Athletics Men's 200 metres","Athletics","Summer","1932 Los Angeles",1932
"5282","Swimming Women's 100 metres Freestyle","Swimming","Summer","1980 Moskva",1980
"5283","Boxing Men's Light-Heavyweight","Boxing","Summer","1932 Los Angeles",1932
"5284","Gymnastics Women's Horse Vault","Gymnastics","Summer","2012 London",2012
"5285","Boxing Men's Heavyweight","Boxing","Summer","1904 St. Louis",1904
"5286","Biathlon Women's 7.5 kilometres Sprint","Biathlon","Winter","2014 Sochi",2014
"5287","Biathlon Women's 10 kilometres Pursuit","Biathlon","Winter","2014 Sochi",2014
"5288","Biathlon Women's 12.5 kilometres Mass Start","Biathlon","Winter","2014 Sochi",2014
"5289","Biathlon Women's 4 x 6 kilometres Relay","Biathlon","Winter","2014 Sochi",2014
"5290","Boxing Men's Super-Heavyweight","Boxing","Summer","1996 Atlanta",1996
"5291","Shooting Men's Running Target, Single And Double Shot","Shooting","Summer","1952 Helsinki",1952
"5292","Athletics Women's Discus Throw","Athletics","Summer","1960 Roma",1960
"5293","Swimming Women's 10 kilometres Open Water","Swimming","Summer","2008 Beijing",2008
"5294","Weightlifting Men's Super-Heavyweight","Weightlifting","Summer","1988 Seoul",1988
"5295","Ski Jumping Men's Normal Hill, Individual","Ski Jumping","Winter","1952 Oslo",1952
"5296","Alpine Skiing Women's Combined","Alpine Skiing","Winter","1998 Nagano",1998
"5297","Snowboarding Men's Slopestyle","Snowboarding","Winter","2014 Sochi",2014
"5298","Boxing Men's Flyweight","Boxing","Summer","1924 Paris",1924
"5299","Figure Skating Mixed Ice Dancing","Figure Skating","Winter","1994 Lillehammer",1994
"5300","Canoeing Men's Canadian Singles, 1,000 metres","Canoeing","Summer","2012 London",2012
"5301","Rowing Men's Double Sculls","Rowing","Summer","1956 Melbourne",1956
"5302","Judo Men's Middleweight","Judo","Summer","1984 Los Angeles",1984
"5303","Wrestling Men's Welterweight, Freestyle","Wrestling","Summer","1952 Helsinki",1952
"5304","Cycling Men's Sprint","Cycling","Summer","1924 Paris",1924
"5305","Rowing Men's Double Sculls","Rowing","Summer","1988 Seoul",1988
"5306","Judo Women's Half-Lightweight","Judo","Summer","1992 Barcelona",1992
"5307","Athletics Men's 5,000 metres","Athletics","Summer","1912 Stockholm",1912
"5308","Rowing Men's Coxed Pairs (1 mile)","Rowing","Summer","1906 Athina",1906
"5309","Wrestling Men's Featherweight, Freestyle","Wrestling","Summer","1952 Helsinki",1952
"5310","Athletics Men's 110 metres Hurdles","Athletics","Summer","1956 Melbourne",1956
"5311","Swimming Women's 100 metres Backstroke","Swimming","Summer","1928 Amsterdam",1928
"5312","Shooting Women's Double Trap","Shooting","Summer","1996 Atlanta",1996
"5313","Swimming Men's 200 metres Breaststroke","Swimming","Summer","2000 Sydney",2000
"5314","Rowing Men's Single Sculls","Rowing","Summer","2008 Beijing",2008
"5315","Rowing Men's Single Sculls","Rowing","Summer","1928 Amsterdam",1928
"5316","Figure Skating Mixed Pairs","Figure Skating","Winter","1972 Sapporo",1972
"5317","Skeleton Men's Skeleton","Skeleton","Winter","1928 Sankt Moritz",1928
"5318","Cycling Men's Tandem Sprint, 2,000 metres","Cycling","Summer","1928 Amsterdam",1928
"5319","Diving Women's Springboard","Diving","Summer","1984 Los Angeles",1984
"5320","Skeleton Men's Skeleton","Skeleton","Winter","2010 Vancouver",2010
"5321","Sailing Men's Windsurfer","Sailing","Summer","2016 Rio de Janeiro",2016
"5322","Fencing Men's Foil, Individual","Fencing","Summer","1920 Antwerpen",1920
"5323","Freestyle Skiing Women's Ski Cross","Freestyle Skiing","Winter","2010 Vancouver",2010
"5324","Beach Volleyball Women's Beach Volleyball","Beach Volleyball","Summer","1996 Atlanta",1996
"5325","Figure Skating Men's Singles","Figure Skating","Winter","2006 Torino",2006
"5326","Fencing Men's Foil, Team","Fencing","Summer","1972 Munich",1972
"5327","Rowing Men's Quadruple Sculls","Rowing","Summer","2004 Athina",2004
"5328","Art Competitions Mixed Unknown Event","Art Competitions","Summer","1932 Los Angeles",1932
"5329","Athletics Women's Hammer Throw","Athletics","Summer","2016 Rio de Janeiro",2016
"5330","Wrestling Men's Lightweight, Freestyle","Wrestling","Summer","1928 Amsterdam",1928
"5331","Boxing Men's Heavyweight","Boxing","Summer","1924 Paris",1924
"5332","Cycling Women's Omnium","Cycling","Summer","2016 Rio de Janeiro",2016
"5333","Fencing Men's Sabre, Team","Fencing","Summer","1908 London",1908
"5334","Athletics Men's 800 metres","Athletics","Summer","1964 Tokyo",1964
"5335","Athletics Women's 80 metres Hurdles","Athletics","Summer","1960 Roma",1960
"5336","Freestyle Skiing Men's Halfpipe","Freestyle Skiing","Winter","2014 Sochi",2014
"5337","Sailing Women's Three Person Keelboat","Sailing","Summer","2012 London",2012
"5338","Swimming Men's 200 metres Obstacle Course","Swimming","Summer","1900 Paris",1900
"5339","Swimming Men's 200 metres Team Swimming","Swimming","Summer","1900 Paris",1900
"5340","Wrestling Men's Light-Flyweight, Freestyle","Wrestling","Summer","1996 Atlanta",1996
"5341","Athletics Women's 80 metres Hurdles","Athletics","Summer","1956 Melbourne",1956
"5342","Wrestling Men's Bantamweight, Greco-Roman","Wrestling","Summer","1964 Tokyo",1964
"5343","Swimming Men's 100 metres Backstroke","Swimming","Summer","1928 Amsterdam",1928
"5344","Athletics Women's 800 metres","Athletics","Summer","1980 Moskva",1980
"5345","Athletics Women's Hammer Throw","Athletics","Summer","2012 London",2012
"5346","Athletics Men's Marathon","Athletics","Summer","1900 Paris",1900
"5347","Art Competitions Mixed Literature, Unknown Event","Art Competitions","Summer","1948 London",1948
"5348","Athletics Men's 200 metres","Athletics","Summer","1936 Berlin",1936
"5349","Diving Men's Springboard","Diving","Summer","2008 Beijing",2008
"5350","Wrestling Men's Middleweight, Freestyle","Wrestling","Summer","1992 Barcelona",1992
"5351","Boxing Men's Heavyweight","Boxing","Summer","2012 London",2012
"5352","Athletics Men's 3,000 metres Steeplechase","Athletics","Summer","1936 Berlin",1936
"5353","Sailing Mixed 12 foot","Sailing","Summer","1920 Antwerpen",1920
"5354","Alpine Skiing Women's Downhill","Alpine Skiing","Winter","1960 Squaw Valley",1960
"5355","Art Competitions Mixed Music","Art Competitions","Summer","1932 Los Angeles",1932
"5356","Boxing Men's Light-Middleweight","Boxing","Summer","1992 Barcelona",1992
"5357","Swimming Women's 100 metres Butterfly","Swimming","Summer","1984 Los Angeles",1984
"5358","Swimming Women's 200 metres Butterfly","Swimming","Summer","1984 Los Angeles",1984
"5359","Canoeing Men's Canadian Doubles, 1,000 metres","Canoeing","Summer","2012 London",2012
"5360","Judo Women's Lightweight","Judo","Summer","2004 Athina",2004
"5361","Rowing Men's Coxless Pairs","Rowing","Summer","2012 London",2012
"5362","Sailing Mixed Two Person Keelboat","Sailing","Summer","1960 Roma",1960
"5363","Sailing Mixed Multihull","Sailing","Summer","1976 Montreal",1976
"5364","Speed Skating Men's 5,000 metres","Speed Skating","Winter","1924 Chamonix",1924
"5365","Speed Skating Men's 10,000 metres","Speed Skating","Winter","1924 Chamonix",1924
"5366","Art Competitions Mixed Music, Instrumental And Chamber","Art Competitions","Summer","1936 Berlin",1936
"5367","Art Competitions Mixed Music, Vocals","Art Competitions","Summer","1948 London",1948
"5368","Bobsleigh Men's Two","Bobsleigh","Winter","1948 Sankt Moritz",1948
"5369","Sailing Mixed 8 metres","Sailing","Summer","1932 Los Angeles",1932
"5370","Rowing Women's Coxless Pairs","Rowing","Summer","2008 Beijing",2008
"5371","Weightlifting Men's Lightweight","Weightlifting","Summer","1924 Paris",1924
"5372","Art Competitions Mixed Literature, Dramatic Works","Art Competitions","Summer","1948 London",1948
"5373","Weightlifting Men's Featherweight","Weightlifting","Summer","1976 Montreal",1976
"5374","Wrestling Men's Heavyweight, Freestyle","Wrestling","Summer","1988 Seoul",1988
"5375","Jeu De Paume Men's Singles","Jeu De Paume","Summer","1908 London",1908
"5376","Swimming Men's 400 metres Freestyle","Swimming","Summer","2012 London",2012
"5377","Speed Skating Men's 500 metres","Speed Skating","Winter","2010 Vancouver",2010
"5378","Cross Country Skiing Women's 3 x 5 kilometres Relay","Cross Country Skiing","Winter","1960 Squaw Valley",1960
"5379","Wrestling Men's Featherweight, Greco-Roman","Wrestling","Summer","1956 Melbourne",1956
"5380","Speed Skating Women's 500 metres","Speed Skating","Winter","1972 Sapporo",1972
"5381","Speed Skating Women's 1,000 metres","Speed Skating","Winter","1972 Sapporo",1972
"5382","Weightlifting Men's Light-Heavyweight","Weightlifting","Summer","1928 Amsterdam",1928
"5383","Rowing Women's Quadruple Sculls","Rowing","Summer","1996 Atlanta",1996
"5384","Rowing Men's Single Sculls","Rowing","Summer","1984 Los Angeles",1984
"5385","Athletics Women's Pentathlon","Athletics","Summer","1964 Tokyo",1964
"5386","Swimming Women's 200 metres Breaststroke","Swimming","Summer","1980 Moskva",1980
"5387","Speed Skating Men's 5,000 metres","Speed Skating","Winter","2002 Salt Lake City",2002
"5388","Rowing Men's Single Sculls","Rowing","Summer","1992 Barcelona",1992
"5389","Athletics Men's 20 kilometres Walk","Athletics","Summer","1964 Tokyo",1964
"5390","Shooting Women's Air Rifle, 10 metres","Shooting","Summer","1992 Barcelona",1992
"5391","Shooting Women's Small-Bore Rifle, Three Positions, 50 metres","Shooting","Summer","1992 Barcelona",1992
"5392","Sailing Mixed 10-20 Ton","Sailing","Summer","1900 Paris",1900
"5393","Athletics Men's Standing High Jump","Athletics","Summer","1904 St. Louis",1904
"5394","Athletics Men's Standing Long Jump","Athletics","Summer","1904 St. Louis",1904
"5395","Athletics Men's Discus Throw","Athletics","Summer","1904 St. Louis",1904
"5396","Cycling Men's 1/3 mile","Cycling","Summer","1904 St. Louis",1904
"5397","Cycling Men's 1 mile","Cycling","Summer","1904 St. Louis",1904
"5398","Cycling Men's 2 mile","Cycling","Summer","1904 St. Louis",1904
"5399","Weightlifting Men's Bantamweight","Weightlifting","Summer","1952 Helsinki",1952
"5400","Art Competitions Mixed Sculpturing, Medals And Plaques","Art Competitions","Summer","1948 London",1948
"5401","Cycling Men's Individual Pursuit, 4,000 metres","Cycling","Summer","1980 Moskva",1980
"5402","Cycling Men's Team Pursuit, 4,000 metres","Cycling","Summer","1980 Moskva",1980
"5403","Art Competitions Mixed Literature, Lyric Works","Art Competitions","Summer","1928 Amsterdam",1928
"5404","Sailing Mixed 7 metres","Sailing","Summer","1908 London",1908
"5405","Athletics Men's 110 metres Hurdles","Athletics","Summer","1976 Montreal",1976
"5406","Rowing Men's Single Sculls","Rowing","Summer","1976 Montreal",1976
"5407","Boxing Men's Featherweight","Boxing","Summer","1928 Amsterdam",1928
"5408","Rowing Women's Coxed Fours","Rowing","Summer","1980 Moskva",1980
"5409","Wrestling Men's Featherweight, Greco-Roman","Wrestling","Summer","1936 Berlin",1936
"5410","Alpine Skiing Women's Combined","Alpine Skiing","Winter","1988 Calgary",1988
"5411","Swimming Women's 400 metres Freestyle","Swimming","Summer","1936 Berlin",1936
"5412","Wrestling Men's Flyweight, Freestyle","Wrestling","Summer","1988 Seoul",1988
"5413","Athletics Women's Shot Put","Athletics","Summer","1948 London",1948
"5414","Athletics Women's Javelin Throw","Athletics","Summer","1980 Moskva",1980
"5415","Fencing Men's Foil, Team","Fencing","Summer","2000 Sydney",2000
"5416","Rowing Men's Quadruple Sculls","Rowing","Summer","1976 Montreal",1976
"5417","Weightlifting Men's Light-Heavyweight","Weightlifting","Summer","1948 London",1948
"5418","Rowing Women's Lightweight Double Sculls","Rowing","Summer","2004 Athina",2004
"5419","Rowing Women's Lightweight Double Sculls","Rowing","Summer","2008 Beijing",2008
"5420","Athletics Women's 1,500 metres","Athletics","Summer","1996 Atlanta",1996
"5421","Gymnastics Men's Horizontal Bar","Gymnastics","Summer","1932 Los Angeles",1932
"5422","Skeleton Women's Skeleton","Skeleton","Winter","2010 Vancouver",2010
"5423","Boxing Men's Bantamweight","Boxing","Summer","1928 Amsterdam",1928
"5424","Sailing Mixed Multihull","Sailing","Summer","1980 Moskva",1980
"5425","Athletics Men's 1,600 metres Medley Relay","Athletics","Summer","1908 London",1908
"5426","Sailing Men's Two Person Keelboat","Sailing","Summer","2012 London",2012
"5427","Speed Skating Men's 500 metres","Speed Skating","Winter","1972 Sapporo",1972
"5428","Croquet Mixed Singles, Two Balls","Croquet","Summer","1900 Paris",1900
"5429","Athletics Men's Hammer Throw","Athletics","Summer","1980 Moskva",1980
"5430","Athletics Men's 5,000 metres","Athletics","Summer","1976 Montreal",1976
"5431","Swimming Men's 400 metres Freestyle","Swimming","Summer","1960 Roma",1960
"5432","Rowing Men's Single Sculls","Rowing","Summer","1908 London",1908
"5433","Art Competitions Mixed Literature","Art Competitions","Summer","1920 Antwerpen",1920
"5434","Canoeing Men's Folding Kayak Doubles, 10 kilometres","Canoeing","Summer","1936 Berlin",1936
"5435","Speed Skating Women's 500 metres","Speed Skating","Winter","1984 Sarajevo",1984
"5436","Athletics Men's 60 metres","Athletics","Summer","1904 St. Louis",1904
"5437","Athletics Men's 100 metres","Athletics","Summer","1904 St. Louis",1904
"5438","Athletics Men's 400 metres","Athletics","Summer","1904 St. Louis",1904
"5439","Art Competitions Mixed Painting, Drawings And Water Colors","Art Competitions","Summer","1932 Los Angeles",1932
"5440","Swimming Women's 50 metres Freestyle","Swimming","Summer","1992 Barcelona",1992
"5441","Rowing Men's Coxless Pairs","Rowing","Summer","1960 Roma",1960
"5442","Rowing Men's Coxless Pairs","Rowing","Summer","1964 Tokyo",1964
"5443","Athletics Men's 1,500 metres","Athletics","Summer","1896 Athina",1896
"5444","Weightlifting Men's Heavyweight I","Weightlifting","Summer","1984 Los Angeles",1984
"5445","Weightlifting Men's Heavyweight I","Weightlifting","Summer","1988 Seoul",1988
"5446","Snowboarding Women's Parallel Giant Slalom","Snowboarding","Winter","2002 Salt Lake City",2002
"5447","Snowboarding Women's Parallel Giant Slalom","Snowboarding","Winter","2006 Torino",2006
"5448","Trampolining Women's Individual","Trampolining","Summer","2008 Beijing",2008
"5449","Sailing Mixed 2-3 Ton","Sailing","Summer","1900 Paris",1900
"5450","Weightlifting Men's Middle-Heavyweight","Weightlifting","Summer","1976 Montreal",1976
"5451","Judo Women's Extra-Lightweight","Judo","Summer","2012 London",2012
"5452","Judo Men's Open Class","Judo","Summer","1984 Los Angeles",1984
"5453","Athletics Men's Triple Jump","Athletics","Summer","1928 Amsterdam",1928
"5454","Athletics Women's 200 metres","Athletics","Summer","1948 London",1948
"5455","Speed Skating Men's 500 metres","Speed Skating","Winter","1968 Grenoble",1968
"5456","Swimming Men's 10 kilometres Open Water","Swimming","Summer","2008 Beijing",2008
"5457","Canoeing Men's Canadian Singles, 500 metres","Canoeing","Summer","1980 Moskva",1980
"5458","Athletics Women's 10,000 metres","Athletics","Summer","2012 London",2012
"5459","Snowboarding Women's Halfpipe","Snowboarding","Winter","2010 Vancouver",2010
"5460","Speed Skating Men's 5,000 metres","Speed Skating","Winter","1968 Grenoble",1968
"5461","Speed Skating Men's 10,000 metres","Speed Skating","Winter","1972 Sapporo",1972
"5462","Canoeing Men's Kayak Doubles, 10,000 metres","Canoeing","Summer","1956 Melbourne",1956
"5463","Boxing Men's Bantamweight","Boxing","Summer","2000 Sydney",2000
"5464","Equestrianism Mixed Dressage, Individual","Equestrianism","Summer","2000 Sydney",2000
"5465","Equestrianism Mixed Dressage, Team","Equestrianism","Summer","2000 Sydney",2000
"5466","Swimming Men's 100 metres Backstroke","Swimming","Summer","1920 Antwerpen",1920
"5467","Fencing Men's Foil, Individual","Fencing","Summer","1932 Los Angeles",1932
"5468","Fencing Men's Sabre, Individual","Fencing","Summer","1932 Los Angeles",1932
"5469","Cycling Men's 1,000 metres Time Trial","Cycling","Summer","2000 Sydney",2000
"5470","Swimming Men's 200 metres Backstroke","Swimming","Summer","1900 Paris",1900
"5471","Speed Skating Men's Team Pursuit (8 laps)","Speed Skating","Winter","2014 Sochi",2014
"5472","Athletics Men's Long Jump","Athletics","Summer","1900 Paris",1900
"5473","Speed Skating Men's 500 metres","Speed Skating","Winter","1924 Chamonix",1924
"5474","Speed Skating Men's Allround","Speed Skating","Winter","1924 Chamonix",1924
"5475","Cycling Men's 1,000 metres Time Trial","Cycling","Summer","1980 Moskva",1980
"5476","Speed Skating Men's 1,500 metres","Speed Skating","Winter","1924 Chamonix",1924
"5477","Athletics Men's Javelin Throw","Athletics","Summer","1924 Paris",1924
"5478","Shooting Men's Military Rifle, Prone, 600 metres","Shooting","Summer","1920 Antwerpen",1920
"5479","Canoeing Men's Canadian Doubles, 1,000 metres","Canoeing","Summer","1952 Helsinki",1952
"5480","Canoeing Men's Canadian Doubles, 10,000 metres","Canoeing","Summer","1952 Helsinki",1952
"5481","Swimming Women's 100 metres Backstroke","Swimming","Summer","1936 Berlin",1936
"5482","Speed Skating Women's Team Pursuit (6 laps)","Speed Skating","Winter","2014 Sochi",2014
"5483","Athletics Women's Heptathlon","Athletics","Summer","2008 Beijing",2008
"5484","Weightlifting Men's Middleweight","Weightlifting","Summer","1948 London",1948
"5485","Rowing Women's Double Sculls","Rowing","Summer","1984 Los Angeles",1984
"5486","Wrestling Men's Lightweight, Greco-Roman","Wrestling","Summer","1908 London",1908
"5487","Canoeing Women's Kayak Singles, Slalom","Canoeing","Summer","1996 Atlanta",1996
"5488","Freestyle Skiing Women's Aerials","Freestyle Skiing","Winter","1998 Nagano",1998
"5489","Boxing Men's Flyweight","Boxing","Summer","1976 Montreal",1976
"5490","Shooting Men's Small-Bore Rifle, Prone, 50 metres","Shooting","Summer","1964 Tokyo",1964
"5491","Athletics Men's 100 metres","Athletics","Summer","1900 Paris",1900
"5492","Athletics Men's 400 metres","Athletics","Summer","1900 Paris",1900
"5493","Rowing Men's Double Sculls","Rowing","Summer","1928 Amsterdam",1928
"5494","Canoeing Men's Kayak Singles, 10,000 metres","Canoeing","Summer","1948 London",1948
"5495","Figure Skating Men's Singles","Figure Skating","Winter","1980 Lake Placid",1980
"5496","Equestrianism Men's Jumping, Individual","Equestrianism","Summer","1932 Los Angeles",1932
"5497","Equestrianism Men's Jumping, Team","Equestrianism","Summer","1932 Los Angeles",1932
"5498","Snowboarding Women's Parallel Giant Slalom","Snowboarding","Winter","2010 Vancouver",2010
"5499","Snowboarding Women's Parallel Giant Slalom","Snowboarding","Winter","2014 Sochi",2014
"5500","Snowboarding Women's Parallel Slalom","Snowboarding","Winter","2014 Sochi",2014
"5501","Shooting Men's Dueling Pistol, 30 metres, Team","Shooting","Summer","1912 Stockholm",1912
"5502","Cross Country Skiing Men's 18 kilometres","Cross Country Skiing","Winter","1952 Oslo",1952
"5503","Nordic Combined Men's Individual","Nordic Combined","Winter","1952 Oslo",1952
"5504","Wrestling Men's Featherweight, Freestyle","Wrestling","Summer","1936 Berlin",1936
"5505","Athletics Men's Decathlon","Athletics","Summer","1960 Roma",1960
"5506","Figure Skating Men's Singles","Figure Skating","Winter","1960 Squaw Valley",1960
"5507","Gymnastics Men's Horse Vault","Gymnastics","Summer","1896 Athina",1896
"5508","Gymnastics Men's Parallel Bars","Gymnastics","Summer","1896 Athina",1896
"5509","Gymnastics Men's Parallel Bars, Teams","Gymnastics","Summer","1896 Athina",1896
"5510","Gymnastics Men's Horizontal Bar","Gymnastics","Summer","1896 Athina",1896
"5511","Gymnastics Men's Horizontal Bar, Teams","Gymnastics","Summer","1896 Athina",1896
"5512","Gymnastics Men's Rings","Gymnastics","Summer","1896 Athina",1896
"5513","Gymnastics Men's Pommelled Horse","Gymnastics","Summer","1896 Athina",1896
"5514","Figure Skating Men's Singles","Figure Skating","Winter","1924 Chamonix",1924
"5515","Speed Skating Men's 10,000 metres","Speed Skating","Winter","2002 Salt Lake City",2002
"5516","Athletics Women's Pentathlon","Athletics","Summer","1976 Montreal",1976
"5517","Athletics Men's 400 metres","Athletics","Summer","1912 Stockholm",1912
"5518","Athletics Men's 4 x 400 metres Relay","Athletics","Summer","1912 Stockholm",1912
"5519","Athletics Women's 800 metres","Athletics","Summer","1928 Amsterdam",1928
"5520","Rowing Women's Double Sculls","Rowing","Summer","1976 Montreal",1976
"5521","Shooting Men's Free Pistol, 50 metres","Shooting","Summer","1900 Paris",1900
"5522","Shooting Men's Free Pistol, 50 metres, Team","Shooting","Summer","1900 Paris",1900
"5523","Rowing Men's Double Sculls","Rowing","Summer","1932 Los Angeles",1932
"5524","Fencing Men's Sabre, Team","Fencing","Summer","1956 Melbourne",1956
"5525","Diving Women's Platform","Diving","Summer","1952 Helsinki",1952
"5526","Wrestling Men's Light-Heavyweight, Freestyle","Wrestling","Summer","1928 Amsterdam",1928
"5527","Wrestling Men's Flyweight, Greco-Roman","Wrestling","Summer","1972 Munich",1972
"5528","Athletics Women's Shot Put","Athletics","Summer","1964 Tokyo",1964
"5529","Canoeing Men's Canadian Doubles, 1,000 metres","Canoeing","Summer","1964 Tokyo",1964
"5530","Art Competitions Mixed Painting, Applied Arts","Art Competitions","Summer","1936 Berlin",1936
"5531","Luge Men's Singles","Luge","Winter","1980 Lake Placid",1980
"5532","Freestyle Skiing Men's Ski Cross","Freestyle Skiing","Winter","2014 Sochi",2014
"5533","Figure Skating Men's Singles","Figure Skating","Winter","1976 Innsbruck",1976
"5534","Diving Women's Platform","Diving","Summer","2004 Athina",2004
"5535","Athletics Men's 400 metres Hurdles","Athletics","Summer","2008 Beijing",2008
"5536","Fencing Men's Sabre, Individual","Fencing","Summer","1900 Paris",1900
"5537","Figure Skating Men's Singles","Figure Skating","Winter","1994 Lillehammer",1994
"5538","Shooting Men's Small-Bore Rifle, Disappearing Target, 25 metres, Team","Shooting","Summer","1912 Stockholm",1912
"5539","Athletics Men's Discus Throw","Athletics","Summer","1912 Stockholm",1912
"5540","Equestrianism Mixed Dressage, Individual","Equestrianism","Summer","1964 Tokyo",1964
"5541","Equestrianism Mixed Dressage, Team","Equestrianism","Summer","1964 Tokyo",1964
"5542","Equestrianism Mixed Dressage, Individual","Equestrianism","Summer","1976 Montreal",1976
"5543","Equestrianism Mixed Dressage, Team","Equestrianism","Summer","1976 Montreal",1976
"5544","Wrestling Men's Middleweight, Freestyle","Wrestling","Summer","1928 Amsterdam",1928
"5545","Ski Jumping Men's Normal Hill, Individual","Ski Jumping","Winter","1956 Cortina d'Ampezzo",1956
"5546","Table Tennis Men's Team","Table Tennis","Summer","2008 Beijing",2008
"5547","Art Competitions Mixed Sculpturing, Medals And Reliefs","Art Competitions","Summer","1928 Amsterdam",1928
"5548","Athletics Women's Long Jump","Athletics","Summer","1952 Helsinki",1952
"5549","Athletics Women's Shot Put","Athletics","Summer","1952 Helsinki",1952
"5550","Swimming Men's 1,500 metres Freestyle","Swimming","Summer","1984 Los Angeles",1984
"5551","Boxing Men's Lightweight","Boxing","Summer","1904 St. Louis",1904
"5552","Speed Skating Men's 10,000 metres","Speed Skating","Winter","1968 Grenoble",1968
"5553","Art Competitions Mixed Architecture, Architectural Designs","Art Competitions","Summer","1948 London",1948
"5554","Equestrianism Men's Dressage, Individual","Equestrianism","Summer","1932 Los Angeles",1932
"5555","Equestrianism Men's Dressage, Team","Equestrianism","Summer","1932 Los Angeles",1932
"5556","Equestrianism Men's Dressage, Individual","Equestrianism","Summer","1948 London",1948
